2|De gehele dag van 18-04-2011 t/m 31-03-2014, 00:00 - 23:59|POINT(485024.72424715 6800921.5394261)|||845789|Prinses Irenetunnel, Overige[0A]Omschrijving: bouw spoortunnel[0A]Verkeersbelemmering: Algemeen - gedurende de werkzaamheden is er 1 tunnelbuis voor gemotoriseerd verkeer beschikbaar (voor verkeer van en naar centrum)[0A]Verkeersbelemmering: Fietsers - er blijft gedurende het hele project 1 tunnelbuis voor fietsers en voetgangers beschikbaar. Vanaf april 2013 kunnen fietsers weer door de zuidelijke fiets/ voetgangersbuis rijden die momenteel is afgesloten.[0A]Verkeersbelemmering: Openbaar vervoer - gedurende de werkzaamheden is de ov-buis niet beschikbaar voor bussen[0A]Extra: Fase 1: damwanden slaan (duur 1-2 weken) verkeer richting Provincialeweg via OV-baan (2e helft april 2011)[0A]Fase 2: noordzijde tunnel (ov-baan, noordelijke buis langzaam verkeer, noordelijke tunnelbuis gemotoriseerd) mei 2011-mei/ 25 juni 2012[0A]Fase 3: zuidelijke tunnelbuizen, fietsers blijven aan zuidelijkste beschikbare verbinding in tunnel. Deze fase duurt tot maart 2014|H162, Provincialeweg - A13||Tussen kruising Papsouwselaan en kruising Westvest |0
1|De gehele dag van 01-08-2011 t/m 31-12-2016, 01:00 - 23:00|POINT(639418.43555153 6602207.6292561)|||937936|Onderhoudswerkzaamheden:[0A]Hinder: Verschoven en versmalde rijstroken met een lagere maximum snelheid. Vaak is er geen vluchtstrook beschikbaar. In de nachten kunnen er minder rijstroken beschikbaar zijn. Tijdens vakantie uittochten dient het verkeer met extra reistijden van minimaal 30 minuten rekening te houden.[0A]Betreft: weg|A2, Luik - Eindhoven||Tussen afrit 56 Gronsveld en afrit 51 Meerssen |0
1|van 17-10-2011 t/m 31-12-2013, 12:00 - 12:00|POINT(638596.28559157 6598999.9107813)|||931264|Algemene bouwwerkzaamheden:[0A]Oorzaak: Nieuwe ontsluiting voor (toekomstige)tunnel. Aanleg nieuw viaduct.[0A]Fase: Project: A2 Maastricht Ondertunnelingl[0A]Fase: Aanleg tunnel[0A]Hinder: Hindercategorie C: Voor verkeer op beide rijbanen is 1 rijstrook met een snelheidsmaatregel van 90 km/u beschikbaar.|A79, Maastricht - Heerlen||Van A79,Re 0,0 tot A79,Re 1,1Tussen knooppunt Kruisdonk en afrit 2 Meerssen |0
1|van 17-10-2011 t/m 31-12-2013, 12:00 - 12:00|POINT(639296.31169259 6599535.6884294)|||931265|Algemene bouwwerkzaamheden:[0A]Oorzaak: Nieuwe ontsluiting voor (toekomstige)tunnel. Aanleg nieuw viaduct.[0A]Fase: Project: A2 Maastricht Ondertunnelingl[0A]Fase: Aanleg tunnel[0A]Hinder: Hindercategorie C: Voor verkeer op beide rijbanen is 1 rijstrook met een snelheidsmaatregel van 90 km/u beschikbaar.|A79, Maastricht - Heerlen||Van A79,Li 1,1 tot A79,Li 0,069Verbindingsweg A79 vanuit Heerlen (A2 richting Maastricht) |0
4|Buiten de spits van 12-11-2011 t/m 15-11-2014, Van 15-11-2014 13:00 tot 15-11-2014 16:00|POINT(468044.84777404 6798512.0692032)|||846104|Naaldwijk - Sinterklaasintocht, Evenement[0A]Omschrijving: Intocht van Sinterklaas van 13.00 – 16.00 uur. Afsluiting van Prins Hendrikstraat tussen Koningstraat en Zuideinde van 13.45 -14.15 uur.[0A]Verkeersbelemmering: Algemeen - Afsluiting van Prins Hendrikstraat tussen Koningstraat en Zuideinde van 13.45 - 14.15 uur [0A]Contact informatie: Naaldwijkse Winkeliers Federatie, mevrouw Wil Poort, tel: 06-51763607, e-mail: pom@kabelfoon.nl|'s-Gravenzandseweg, Prins Hendrikstraat, Herenstraat, Wilhelminaplein, ||'s-Gravenzandseweg, Prins Hendrikstraat, Herenstraat, Wilhelminaplein,  |0
2|De gehele dag van 26-04-2012 t/m 31-12-2014, 00:00 - 23:59|POINT(527782.71300727 6948393.6660874)|||845891|Onderhoudswerkzaamheden:[0A]N248 Stremming Stolperophaalbrug ivm schade., Bruggen en Tunnels (kunstwerken)[0A]Omschrijving: N248 Stremming Stolperophaalbrug i.v.m. schade.[0A]Verkeersbelemmering: Gemotoriseerd verkeer - Voor het autoverkeer is een omleidingroute ingesteld voor 24.00h per dag.[0A]Verkeersbelemmering: Fietsers - Het (brom)fietsverkeer en wandelaars kunnen wel gebruik maken van de brug..[0A]Extra: De Schagerophaalbrug is aangevaren en de stremming kan langdurig zijn.|Dijkweg, , ||Dijkweg,  |0
1|van 02-09-2012 t/m 31-12-2013, 1:00 - 5:00|POINT(498004.05370309 6775418.1830225)|||931159|Algemene bouwwerkzaamheden:[0A]Oorzaak: Reconstructie A15 Maasvlakte - Vaanplein[0A]Fase: Project: MAVA [0A]Fase: Aanleg extra rijstroken[0A]Hinder: Hindercategorie B: Verkeer wordt omgeleid via de toekomstige parallelbaan. Het verkeer dient rekening te houden met max. tien minuten extra vertraging.|A15, Rozenburg - Ridderkerk||Van A15,Re 55,0 tot A15,Re 59,5Tussen afrit 19 Charlois/Rhoon en knooppunt Vaanplein |0
1|van 16-12-2012 t/m 13-10-2013, 8:00 - 8:00|POINT(499144.95527066 6775558.8621532)|||931200|Algemene bouwwerkzaamheden:[0A]Oorzaak: Reconstructie A15 Maasvlakte - Vaanplein[0A]Fase: Project: MAVA [0A]Fase: Aanleg parallelrijbanen[0A]Hinder: Hindercategorie B: Verkeer wordt omgeleid via de toekomstige parallelbaan. Het verkeer dient rekening te houden met max. tien minuten extra vertraging.|A15, Rozenburg - Ridderkerk||Van A15,Li 59,5 tot A15,Li 55,0Tussen afrit 19 Charlois/Rhoon en knooppunt Vaanplein |0
1|van 02-01-2013 t/m 19-05-2014, 24:00 - 24:00|POINT(550063.34290626 6861381.9892436)|||931191|Algemene bouwwerkzaamheden:[0A]Oorzaak: Uitbreiding capaciteit[0A]Fase: Project: SAA A10 Oost-A1[0A]Fase: Aanleg extra rijstroken[0A]Hinder: Hindercategorie B: Tijdelijk versmalde rijstroken en geen vluchtstroken beschikbaar ten behoeve van aanleg extra rijstrook. [0A]Snelheidsbeperking 90 km/uur.|A10, Volendam - De Nieuwe Meer||Van A10,Re 12,0 tot A10,Re 16,0Tussen knooppunt Watergraafsmeer en knooppunt Amstel |0
2|Overdag van 26-04-2013 t/m 11-10-2013|POINT(532731.33758992 6945969.0398983)|||893455|Asfalteringswerkzaamheden:[0A]N248  Inmeten van zakbakens van de voorbelasting., Asfaltering / wegverharding[0A]Omschrijving: N248  Inmeten van zakbakens van de voorbelasting in de noordelijke berm.[0A]Verkeersbelemmering: Gemotoriseerd verkeer - Dynamische halve rijbaanafzetting conform CROW fig.37 incl. twee verkeersbegeleiders.|N248, Schagen - Wieringerwerf||Tussen bebouwde kom Schagen en aansluiting 't Zand Tussen bebouwde kom Schagen en aansluiting 't Zand |0
3|van 06-05-2013 t/m 30-09-2013|POINT(382366.37010188 6715202.9117728)|||871254|Groot evenement:[0A]Oorzaak hinder: weekmarkt[0A]Type hinder: Afsluiting|N287, Veere - Westkapelle||Bebouwde kom Westkapelle (N288) |0
1|van 21-05-2013 t/m 31-12-2014, 5:00 - 5:00|POINT(640936.40644382 6782260.4905362)|||931403|Wegwerkzaamheden:[0A]Oorzaak: Verbeteren kwaliteit van de brug[0A]Fase: Project: Renovatie brug Ewijk[0A]Fase: Grootschalig onderhoud aan de brug[0A]Hinder: Hindercategorie C: Verkeer wordt over de Nieuwe brug geleid en heeft de beschikking over drie rijstroken per richting met 90 km/h. De oude brug is vrij van verkeer. |A50, Oss - Arnhem||Van A50,Li 151,0 tot A50,Li 153,0 |5
2|De gehele dag van 21-05-2013 t/m 15-10-2013, 00:00 - 23:59|POINT(551172.60573189 6877696.3334038)|||919667|N235 - Afsluiting pont 't Schouw, Overige[0A]Omschrijving: N235 - Afsluiting pont 't Schouw[0A]Verkeersbelemmering: Algemeen - Afsluiting[0A]Extra: Pont zal worden afgesloten. Autoverkeer zal worden omgeleid via de N235 naar pont Ilpendam. Voor de voetgangers, fiets en bromfietsers zal t.h.v. de Slochterweg een tijdelijke pontje worden ingezet.|N235, Brug over de Broekervaart - Watergang||N235, Brug over de Broekervaart - Watergang |0
3|Overdag van 18-06-2013 t/m 31-12-2013|POINT(449097.52877613 6701070.2819599)|||931125|Groot evenement:[0A]Oorzaak hinder: weekmarkt[0A]Type hinder: wegafsluiting|Markt, ||Markt,  |0
